estado,integridad_nodo,ruta,ecosistema,municipio,nomenclatura_nodo,labeled,ecosistema_str,coord_longitud,cumulo,estado_str,fecha_foto,coord_latitud,ultima_modificacion,id,municipio_str
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/094d226ba3d9da3f8e88f429cb17b4cb_0124.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T00:54:12Z,18.0967,2023-04-01T03:24:36.897Z,ddaf569b-a4c1-4914-9d6b-81847c069722,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/09d88c61e11204979d23cb83ffd61fca_0125.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T00:54:27Z,18.0967,2023-04-01T03:24:36.862Z,728d8cf2-6188-43be-8043-7615cdfe82e7,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/f8cf37fee613594f8fc0490640848aad_0046.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9688,13,Campeche,2021-08-17T21:48:02Z,18.0872,2023-04-01T03:24:38.856Z,aa33e00e-be62-4f4f-a894-cf3a847326ab,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/1053c3752822525e6e1b047dae4363e1_0049.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9688,13,Campeche,2021-08-17T21:48:29Z,18.0872,2023-04-01T03:24:37.424Z,b229e67a-251f-4ef8-bf95-b58fb338e6ba,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/6d145ac9a352898b0b4c02f3831ffdf1_0050.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9688,13,Campeche,2021-08-17T21:48:30Z,18.0872,2023-04-01T03:24:38.846Z,7eb490b3-e302-4fed-9190-b8e967e31613,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/22896102a921e86b4c89d87ef223a910_0052.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9688,13,Campeche,2021-08-17T21:48:42Z,18.0872,2023-04-01T03:24:38.861Z,97b0e02b-5e56-4aef-8a0f-b7b6890b5598,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/6df0e449baa907a70511991b28a62151_0053.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9688,13,Campeche,2021-08-17T21:48:43Z,18.0872,2023-04-01T03:24:37.619Z,76195def-32d2-4549-9df2-57ae7df1bee5,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/f54121c8cbca9625e2502ab002c005f5_0047.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9688,13,Campeche,2021-08-17T21:48:03Z,18.0872,2023-04-01T03:24:38.800Z,adda2adf-ca29-4489-8dc3-22819d739428,Palizada
Sonora,Degradado,95/1_95_0_1348/HLPXGM09049470/2021-08-04/images_videos/cfabe40a24c6b2cc8a6f6734e6eed402_0127.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.944,95,Sonora,2021-08-18T04:17:35Z,31.2598,2023-04-01T03:28:53.078Z,ec439e4b-d3b7-43cf-b1d5-4c4944239ca1,Municipio de Agua Prieta
Morelos,Integro,32/4_32_1_1287/HLPXGM09049537/2021-08-11/images_videos/86379a199763e812044b4122710492d4_0178.JPG,Selvas secas,Tlaquiltenango,4_32_1_1287,true,Selvas secas,-98.9998,32,Morelos,2021-08-18T00:56:52Z,18.4195,2023-04-01T03:25:29.265Z,2325ac13-143e-4e38-842f-b7115a2742a3,Tlaquiltenango
Morelos,Integro,32/4_32_1_1287/HLPXGM09049537/2021-08-11/images_videos/2c8ce85c71484de2e96e020fd34bfd83_0179.JPG,Selvas secas,Tlaquiltenango,4_32_1_1287,true,Selvas secas,-98.9998,32,Morelos,2021-08-18T00:56:53Z,18.4195,2023-04-01T03:25:29.776Z,973b4c54-dfeb-44b5-8f74-e97e5f4c3153,Tlaquiltenango
Morelos,Integro,32/4_32_1_1287/HLPXGM09049537/2021-08-11/images_videos/b899985c1ac4963985bd544861513ce2_0181.JPG,Selvas secas,Tlaquiltenango,4_32_1_1287,true,Selvas secas,-98.9998,32,Morelos,2021-08-18T00:57:04Z,18.4195,2023-04-01T03:25:31.223Z,d9a85382-c92a-45cf-a7af-6e7d4fc21b96,Tlaquiltenango
Morelos,Integro,32/4_32_1_1287/HLPXGM09049537/2021-08-11/images_videos/ba199e1f8f196e2efb0411d601aaffaa_0182.JPG,Selvas secas,Tlaquiltenango,4_32_1_1287,true,Selvas secas,-98.9998,32,Morelos,2021-08-18T00:57:05Z,18.4195,2023-04-01T03:25:31.309Z,6691ad73-e5ca-4a39-9a37-3911e867588b,Tlaquiltenango
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/1d8eb1ac4360a094b8e6687369b93fbe_0127.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T02:11:12Z,18.0967,2023-04-01T03:24:36.977Z,23f6058a-5174-4c80-b131-f54fb0d3086a,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/0cebb3a963e6c2231a6dfdee5c95c423_0128.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T02:11:27Z,18.0967,2023-04-01T03:24:36.877Z,7c2fe982-4d7f-4549-8917-3175c8dcc29a,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/e9b7c5bc7f6b081cc90c2abdff3ebdae_0130.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T02:11:35Z,18.0967,2023-04-01T03:24:37.403Z,f9a305e9-dc5b-4b36-a323-e6c70ce212a8,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/73d650bafee7f9f44fbe4a59b5ef0816_0131.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T02:11:50Z,18.0967,2023-04-01T03:24:36.972Z,daed42de-9828-4c7c-8bd0-7a3b39d8918d,Palizada
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/81edd578ec026c0e552e92c8dd8fe587_0223.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-18T09:03:40Z,31.2639,2023-04-01T03:24:44.116Z,b281faf6-d65e-4b61-9462-14a399358907,Municipio de Agua Prieta
